#数据文件中的 # : , 均应为英文字符
#以#开头的行视为注释行
#可以忽略0个空格的行
#可以忽略有多个空格的行
                        
#CS: Beijing1954
#CS: Xian1980
#CS: CGCS2000
#CS: WGS1984
#CS: CS00, 6378137,298.257222101  
CS  : Beijing1954
PROJ: GaussProj
     

L0: 108
YKM: 500
N: 36

#点名, X, Y, B, L
GP01, 3804863.094760823, 36609369.10642938, 34.21541862870125, 109.11200480753095
GP02, 3804748.228815054, 36609344.38105813, 34.21504687864087, 109.1119028021524
GP03, 3804593.2963923495, 36609348.93746618, 34.21454401750134, 109.1119135302302
GP04, 3804631.5088833603, 36609224.70506703, 34.21467271829048, 109.11142921445361
GP05, 3804747.865578739, 36609219.89870685, 34.21505042751761, 109.11141573476338
GP06, 3804833.8808638686, 36609219.10137206, 34.21532953988007, 109.11141655205476
GP07, 3804617.0344052524, 36609090.2653619, 34.21463085443102, 109.11090254901548
GP08, 3804610.103251373, 36609034.57967492, 34.21461047624881, 109.11068435882679
GP09, 3804635.7108329264, 36608961.72023577, 34.214696321433856, 109.11040046134687
GP10, 3804769.758678212, 36608959.91511469, 34.21513131709904, 109.1103995193184
GP11, 3804833.361570318, 36608959.77157233, 34.215337686396396, 109.11040186192584
GP12, 3804943.957587942, 36608958.54781023, 34.21569656890819, 109.11040212394495
GP13, 3805047.130900583, 36608957.02203277, 34.2200313793424, 109.11040086542552
GP14, 3805172.945330065, 36608956.713609904, 34.22043960421524, 109.11040540421054
GP15, 3805230.531945734, 36608956.07484344, 34.220626471942126, 109.11040553474723
GP16, 3805387.4188019694, 36608955.308880724, 34.22113553052395, 109.11040970276295
GP17, 3805392.766533724, 36609078.31470742, 34.22114822056373, 109.11089125457198
GP18, 3805226.8789771684, 36609070.36737676, 34.22061028918066, 109.11085257344482
GP41, 3805150.405105157, 36609499.73551883, 34.22034585622123, 109.11252909928467
GP42, 3805272.4278241405, 36609473.86771157, 34.220742750439385, 109.11243348350979
GP43, 3805333.0887591364, 36609404.97853829, 34.22094218883243, 109.1121667140377
GP44, 3805339.057913285, 36609342.21233693, 34.22096394222057, 109.11192139276291
GP45, 3805422.639040256, 36609368.826672375, 34.22123411453383, 109.11202936257958
GP46, 3805529.443150964, 36609345.04322195, 34.221581550814285, 109.11194119614298
GP47, 3805331.983737639, 36609278.14837684, 34.22094342366894, 109.11167039568204
GP48, 3805279.114105552, 36609215.10573345, 34.220774278732854, 109.11142129868492
GP49, 3805394.054417102, 36609218.534024976, 34.22114707948368, 109.11143997512463
GP50, 3805127.8876152746, 36609216.40855663, 34.220283565549984, 109.11141947362324
GP51, 3805060.7338816873, 36609217.10793023, 34.220065654513334, 109.11141913610123
GP52, 3804987.5594783663, 36609225.38379028, 34.215827921419645, 109.11144816763957
GP53, 3804962.0835613236, 36609345.70222243, 34.21574069344201, 109.11191777117826
GP54, 3805085.144492526, 36609482.64230284, 34.22013476478143, 109.11245922276913
GP55, 3805060.3763213567, 36609585.6537188, 34.220050481529064, 109.11286114257156
GP56, 3804973.579483002, 36609619.57586389, 34.21576757201071, 109.1129898831937
GP57, 3804895.8108812287, 36609554.27196464, 34.21551773431342, 109.11273079817396
GP58, 3804948.58601858, 36609487.93386335, 34.21569149133837, 109.11247366096705
GP59, 3804863.9862690954, 36609546.526877806, 34.21541477233719, 109.1126990331959
GP60, 3804858.868366359, 36609440.98030524, 34.215402183206415, 109.11228583133708
GP63, 3805223.4813663443, 36609215.57560917, 34.22059375703593, 109.11142059046024
GP64, 3804948.199014388, 36609218.3389922, 34.21570048131991, 109.11141880171265
GP65, 3805001.836897946, 36609427.39271374, 34.215866570030194, 109.11223922441621
