#数据文件中的 # : , 均应为英文字符
#可以忽略0个空格的行
#可以忽略有多个空格的行
#CS 指定坐标系 BJ54 XA80 CGCS2000 WGS84 CS00
#CS: BJ54
#CS: XA80
#CS: WGS84
#CS: CGCS2000
#CS: CS00, 6378137, 298.257222101
CS: CS00, 6379344.296, 298.3
#角度数据格式为D.MMSS
L0: 106.25
YKM: 0
N: 0
#角度的单位，默认为 D.MMSS
#ANGLE : DEGREE D.MMSSS RADIAN
ANGLE: D.MMSSS
#FORMAT: BL or XY or BLXY or XYBL
FORMAT: BL
#点名, B, L, X, Y, 子午线收敛角(γ),长度比(m)
GPS001, 26.0932674644, 106.39050454, 2895030.10634268, 23473.8538026538,  0°06′12.55254″, 1.00000679787454
GPS002, 26.0914005656, 106.385323416, 2894454.86569295, 23146.7808460824,  0°06′07.27761″, 1.00000660976407
GPS003, 26.07364215, 106.370630012, 2891446.1772932, 20180.8645021802,  0°05′19.83382″, 1.00000502442492
GPS004, 26.0714842956, 106.36573714, 2890781.58728622, 19933.7889778859,  0°05′15.83456″, 1.00000490215471
GPS005, 26.0531347744, 106.34399846, 2887590.63425869, 16120.1203715057,  0°04′15.08614″, 1.00000320587108
GPS006, 26.051604418, 106.342540748, 2887119.08442444, 15715.5304156128,  0°04′08.6372″, 1.00000304696812
GPS007, 26.0316613496, 106.320453804, 2883438.80058821, 11803.3783087784,  0°03′06.46908″, 1.00000171879882
GPS008, 26.0254357648, 106.315641896, 2882753.55129479, 11578.2517369176,  0°03′02.86257″, 1.00000165386044
GPS009, 26.0100744996, 106.28561936, 2879253.02269242, 6568.96130166532,  0°01′43.60301″, 1.00000053236408
GPS010, 26.0043834932, 106.284484172, 2878732.37003511, 6253.49423446414,  0°01′38.6071″, 1.00000048245989
GPS011, 25.5920126472, 106.25370956, 2876154.34515682, 1031.93823098631,  0°00′16.2552″, 1.00000001313787
GPS012, 25.5918993264, 106.251484688, 2876119.43059282, 413.016741913463,  0°00′06.50579″, 1.00000000210452
GPS013, 26.0019576908, 106.23054132, 2877984.59352808, -3187.16973554387, -0°00′50.24133″, 1.0000001253218
GPS014, 26.0017971596, 106.224745712, 2877935.31270251, -3686.62232974239, -0°00′58.11336″, 1.00000016767703
GPS015, 25.5828808544, 106.201229208, 2874577.17283678, -8004.52523206211, -0°02′06.00858″, 1.00000079047818
GPS016, 25.5815200292, 106.200178872, 2874158.48999376, -8297.01196367622, -0°02′10.5911″, 1.00000084930263
GPS017, 25.5654984912, 106.181956096, 2871691.55768962, -11143.3538091823, -0°02′55.2182″, 1.00000153197863
GPS018, 25.5650242272, 106.180184572, 2871546.00676298, -11636.460585876, -0°03′02.96114″, 1.00000167056273
GPS019, 25.5432847156, 106.163703548, 2867319.28530723, -14001.0844185384, -0°03′39.76821″, 1.00000241850746
GPS020, 25.541833822, 106.161976052, 2866873.22207853, -14482.4623299934, -0°03′47.28354″, 1.00000258767203
GPS021, 25.5222265112, 106.144826976, 2863303.55651487, -17034.0191271827, -0°04′26.94473″, 1.00000357982107
GPS022, 25.5224906936, 106.143562584, 2863385.33179388, -17385.9904034507, -0°04′32.46947″, 1.00000372928764
GPS023, 25.5107836156, 106.113925428, 2861020.50846074, -22301.1699251378, -0°05′49.16725″, 1.00000613598342
GPS024, 25.5043386288, 106.1135628, 2860268.11794494, -22403.4435194444, -0°05′50.66271″, 1.00000619239972
GPS025, 25.4910471476, 106.11038742, 2857409.75784781, -23292.907851832, -0°06′04.16676″, 1.00000669389564
GPS026, 25.4848268728, 106.105348172, 2856726.87887829, -23583.6454164382, -0°06′08.61113″, 1.00000686205028
GPS027, 25.4652156848, 106.090155052, 2853158.93864687, -26709.2421814671, -0°06′56.86565″, 1.00000880152357
GPS028, 25.4636240996, 106.085048952, 2852669.68222058, -27018.4833993856, -0°07′01.60919″, 1.00000900652016
GPS029, 25.452219364, 106.064800636, 2850397.95437009, -30437.1290719147, -0°07′54.52094″, 1.00001142994828
GPS030, 25.4511568528, 106.06292464, 2850072.131725, -30960.7936584201, -0°08′02.62159″, 1.00001182663859
GPS031, 25.4431668432, 106.035135616, 2848855.0528658, -35365.0901395262, -0°09′11.00507″, 1.000015430778
GPS032, 25.4420370048, 106.032741148, 2848509.09343314, -36033.5310050923, -0°09′21.34132″, 1.00001601962029
GPS033, 25.4351020508, 106.0029178, 2847620.17906536, -41004.9980638245, -0°10′38.5575″, 1.00002074498567
GPS034, 25.4356965476, 106.001019592, 2847804.81203049, -41533.6307693089, -0°10′46.83749″, 1.00002128331383
GPS035, 25.4437039668, 105.570927108, 2849055.06641105, -46573.2861069675, -0°12′05.68583″, 1.00002676163909
GPS036, 25.4449891704, 105.565081784, 2849452.47004514, -47086.2890917795, -0°12′13.79614″, 1.00002735442764
GPS037, 25.4219963152, 105.56189042, 2844840.8937799, -47992.6158873417, -0°12′26.53322″, 1.00002841783115
GPS038, 25.4200203148, 105.561742316, 2844232.83625613, -48036.1181353228, -0°12′27.02696″, 1.00002846940121
GPS039, 25.3936268416, 105.551042716, 2839809.47189053, -49921.0678199661, -0°12′54.95672″, 1.00003074776737
GPS040, 25.391849518, 105.55170832, 2839261.72315515, -49737.4387060614, -0°12′51.93579″, 1.00003052200533
GPS041, 25.3847889636, 105.549988132, 2838321.50294797, -50220.8804451064, -0°12′59.14308″, 1.00003111828038
GPS042, 25.3832531388, 105.545798772, 2837848.98306384, -50275.4975696965, -0°13′-00.15824″, 1.00003118602644
GPS043, 25.3706980232, 105.543075876, 2835218.65630644, -51045.2900079211, -0°13′10.94186″, 1.00003214849068
GPS044, 25.3648086172, 105.542450124, 2834637.77862414, -51222.1475047436, -0°13′13.49605″, 1.00003237167959
GPS045, 25.3441159388, 105.524323216, 2830742.21597095, -54064.1014005239, -0°13′56.20243″, 1.00003606373403
GPS046, 25.3435398308, 105.523250704, 2830566.11068968, -54364.217282716, -0°14′00.78418″, 1.00003646524593
GPS047, 25.3312336444, 105.515244552, 2828014.1259012, -55493.1864950923, -0°14′17.35864″, 1.00003799567154
GPS048, 25.330680472, 105.514554396, 2827844.66563299, -55686.5943057981, -0°14′20.28762″, 1.00003826099446
GPS049, 25.32062403, 105.510595764, 2825985.1906405, -56799.8210603145, -0°14′36.82479″, 1.00003980616227
GPS050, 25.3156568144, 105.505094672, 2825689.27717673, -57220.2785104215, -0°14′43.20927″, 1.00004039769274
GPS051, 25.3103529992, 105.4903423, 2824069.99229364, -60230.325391793, -0°15′29.05784″, 1.0000447598384
GPS052, 25.3044757864, 105.485310072, 2823493.50071421, -60521.2343566599, -0°15′33.32699″, 1.00004519330336
GPS053, 25.2925121508, 105.465594952, 2821057.54955957, -63805.0219933889, -0°16′22.99374″, 1.00005023082963
GPS054, 25.291026456, 105.470197844, 2820599.46125865, -63638.7729613549, -0°16′20.25077″, 1.00004996944526
GPS055, 25.2809041088, 105.465250288, 2818716.30736564, -63912.4789122662, -0°16′23.71549″, 1.000050400359
GPS056, 25.2800262092, 105.46548382, 2818445.78550641, -63848.5158935818, -0°16′22.62333″, 1.00005029955052
GPS057, 25.2721600936, 105.43589512, 2817280.13162142, -68769.1297861661, -0°17′37.84428″, 1.00005835135544
GPS058, 25.2657733548, 105.43470064, 2816547.22417272, -69106.6991043656, -0°17′42.72059″, 1.00005892570022
GPS059, 25.243867678, 105.430565644, 2812273.1526171, -70284.6462188819, -0°17′58.96049″, 1.00006095208449
GPS060, 25.2442743592, 105.424204908, 2812401.79448012, -70943.9141711083, -0°18′09.13697″, 1.00006210090345
GPS061, 25.2352913076, 105.393869748, 2810896.07882811, -76078.0472855393, -0°19′27.23398″, 1.00007141477472
GPS062, 25.2345384072, 105.39225144, 2810666.90803123, -76531.8052951356, -0°19′34.08571″, 1.00007226924139
GPS063, 25.2536404688, 105.365725296, 2814107.82185063, -80572.5440839169, -0°20′37.79528″, 1.00008010172036
GPS064, 25.2534351644, 105.364021344, 2814047.49616202, -81049.1986240613, -0°20′45.08645″, 1.00008105228273
GPS065, 25.2510721136, 105.35581928, 2813327.29416809, -82228.1818099104, -0°21′02.82654″, 1.00008342762028
GPS066, 25.2511856792, 105.35456684, 2813364.39746451, -82578.0589428908, -0°21′08.21818″, 1.00008413909675
GPS067, 25.261969026, 105.341883964, 2815467.45460183, -84991.9453915533, -0°21′46.3992″, 1.00008912979415
GPS068, 25.2611567148, 105.341032024, 2815218.93498259, -85231.6378384269, -0°21′49.95088″, 1.00008963327072
GPS069, 25.261089978, 105.333296556, 2815205.06446617, -86275.7977815124, -0°22′05.98906″, 1.00009184292577
GPS070, 25.262026266, 105.332080692, 2815495.44396898, -86613.7610805374, -0°22′11.33931″, 1.00009256384415
GPS071, 25.2733100272, 105.310171156, 2817763.06832718, -90486.1589550773, -0°23′12.13193″, 1.00010102547023
GPS072, 25.2741851332, 105.30406404, 2818036.41692539, -91073.1427780886, -0°23′21.31647″, 1.00010234040233
GPS073, 25.2753271972, 105.271870992, 2818427.47643198, -96713.28147169, -0°24′48.31983″, 1.00011540891537
GPS074, 25.2750764212, 105.26552642, 2818355.02888644, -97368.9878328239, -0°24′58.36458″, 1.00011697918603
GPS075, 25.5123780736, 106.132754336, 2861506.51894453, -19284.5386212513, -0°05′01.99537″, 1.00000458824848
GPS076, 25.510560538, 106.132102124, 2860947.35268968, -19467.003242267, -0°05′04.7844″, 1.00000467548895
GPS077, 25.5839575712, 106.222151048, 2874906.88529174, -4409.33671153131, -0°01′09.4217″, 1.00000023986395
GPS078, 25.5831941804, 106.223577188, 2874671.78459361, -4012.64224518851, -0°01′03.17011″, 1.00000019864585
GPS079, 26.0558077168, 106.374053576, 2888420.56004417, 21137.0461072082,  0°05′34.58435″, 1.00000551185323
GPS080, 26.0537387788, 106.374866672, 2887784.09222991, 21364.0688730671,  0°05′38.09221″, 1.00000563089545
GPS081, 25.2830842292, 105.242813472, 2819619.17203471, -101470.938594769, -0°26′02.27498″, 1.00012704291591
GPS082, 25.2829372772, 105.240832428, 2819578.14250627, -102024.804932333, -0°26′10.77458″, 1.00012843363432
GPS083, 25.2920182452, 105.21314712, 2821176.22996896, -106395.03447981, -0°27′19.10458″, 1.00013967208116
GPS084, 25.2923114004, 105.210805968, 2821271.68126976, -107048.38458978, -0°27′29.23145″, 1.00014139276097
GPS085, 25.2907599948, 105.184679568, 2820826.27010406, -110998.972779607, -0°28′29.77263″, 1.00015202182062
GPS086, 25.2855597944, 105.18411282, 2820458.14105836, -111160.383631856, -0°28′32.00298″, 1.00015246437482
GPS087, 25.274685778, 105.155379912, 2818381.80203042, -115853.853883878, -0°29′42.76847″, 1.00016561195499
GPS088, 25.2739443832, 105.153474504, 2818158.19866696, -116388.293618513, -0°29′50.82793″, 1.00016714353506
GPS089, 25.2711476044, 105.130310188, 2817334.74984186, -120633.738293192, -0°30′55.51302″, 1.00017956017495
GPS090, 25.2707910964, 105.12476514, 2817228.89992713, -121066.525872773, -0°31′02.08803″, 1.00018085094159
GPS091, 25.2652560636, 105.110824964, 2816781.7463615, -123848.917987484, -0°31′44.52487″, 1.00018925961906
GPS092, 25.2641456076, 105.103725364, 2816447.94698974, -124718.390534903, -0°31′57.63174″, 1.00019192650292
GPS093, 25.2603539796, 105.083659856, 2815312.55598511, -128101.775128734, -0°32′48.73001″, 1.00020248171281
GPS094, 25.255464596, 105.081455396, 2815044.67472986, -128720.591603862, -0°32′58.02218″, 1.00020444283461
GPS095, 25.2636904164, 105.085136504, 2816335.6685383, -127679.249702383, -0°32′43.05297″, 1.00020114782086
GPS096, 25.2651057744, 105.084412652, 2816773.28182786, -127877.411580342, -0°32′46.44761″, 1.00020177255581
GPSⅠ001, 26.0902696796, 106.384371792, 2894106.2986319, 22883.0368458683,  0°06′03.04242″, 1.00000645999706
GPSⅠ002, 26.0901238616, 106.381975128, 2894060.25947307, 22217.3137495283,  0°05′52.47428″, 1.00000608959071
GPSⅠ003, 26.0911172816, 106.380413592, 2894365.31074569, 21783.0010288699,  0°05′45.62597″, 1.00000585383118
GPSⅠ004, 26.0858455564, 106.374891512, 2893973.15853955, 21360.8148685797,  0°05′38.87445″, 1.00000562912212
GPSⅠ005, 26.0839612408, 106.374751148, 2893393.08247017, 21322.7720746149,  0°05′38.1929″, 1.00000560909488
GPSⅠ006, 26.0826933388, 106.374121904, 2893002.52377459, 21148.5915252463,  0°05′35.3782″, 1.00000551783402
GPSⅠ007, 26.0810998204, 106.372671788, 2892511.37398419, 20746.4937846624,  0°05′28.93743″, 1.00000531001192
GPSⅠ008, 26.0754535764, 106.371305588, 2892004.04415029, 20367.7068108233,  0°05′22.86661″, 1.00000511788708
GPSⅠ009, 25.433873162, 106.005741964, 2847239.51773971, -40218.7906097107, -0°10′26.21863″, 1.00001995711588
GPSⅠ010, 25.4340143, 106.012024256, 2847281.04290132, -39582.3569742701, -0°10′16.31978″, 1.00001933049578
GPSⅠ011, 26.0243601136, 106.314378764, 2882422.15357014, 11227.3306259098,  0°02′57.29684″, 1.000001555128
GPSⅠ012, 26.0701292412, 106.364765716, 2890364.07872143, 19664.4861361596,  0°05′11.51593″, 1.00000477059774
GPSⅠ013, 26.064037112, 106.363456792, 2889719.55863739, 19301.7139544579,  0°05′05.69066″, 1.00000459620932
GPSⅠ014, 26.062509182, 106.36302652, 2889249.07198335, 19182.8357685044,  0°05′03.75103″, 1.00000453977159
GPSⅠ015, 26.0606318504, 106.361689732, 2888670.67184014, 18812.1688792677,  0°04′57.81314″, 1.00000436602814
GPSⅠ016, 26.0606663744, 106.360272952, 2888680.73604986, 18418.4048931563,  0°04′51.58072″, 1.00000418516711
GPSⅠ017, 26.0606978168, 106.353817248, 2888689.46737508, 17735.9075377668,  0°04′40.77719″, 1.0000038807492
GPSⅠ018, 26.0601080756, 106.352109624, 2888507.30290546, 17261.5691330253,  0°04′33.24816″, 1.00000367594839
GPSⅠ019, 26.0551222552, 106.350888396, 2888203.41436195, 16922.5576669032,  0°04′27.84927″, 1.00000353297917
GPSⅠ020, 26.0542527976, 106.345391948, 2887935.25510227, 16506.99192146,  0°04′21.24386″, 1.000003361593
GPSⅠ021, 26.05026016, 106.340887844, 2886704.76639415, 15256.588365592,  0°04′01.33642″, 1.00000287160676
GPSⅠ022, 26.0447464212, 106.341131996, 2886238.90648704, 15325.0003399531,  0°04′02.3736″, 1.00000289741988
GPSⅠ023, 26.0428517376, 106.34112116, 2885655.70634518, 15322.6733531147,  0°04′02.28048″, 1.00000289654286
GPSⅠ024, 26.0418152904, 106.33558846, 2885336.18750923, 14896.9745036906,  0°03′55.51941″, 1.00000273783481
GPSⅠ025, 26.040446376, 106.335190588, 2884914.70094521, 14786.8480374938,  0°03′53.73906″, 1.0000026975072
GPSⅠ026, 26.0346550448, 106.333543804, 2884362.80722279, 14329.6511081808,  0°03′46.46225″, 1.00000253327895
GPSⅠ027, 26.0344758296, 106.33228312, 2884307.26359123, 13979.2280213667,  0°03′40.91938″, 1.00000241089442
GPSⅠ028, 26.0345328824, 106.330026568, 2884324.16794895, 13351.8645173705,  0°03′31.00636″, 1.00000219935644
GPSⅠ029, 26.034405878, 106.323956424, 2884284.49916774, 12776.3815203903,  0°03′21.90854″, 1.00000201385198
GPSⅠ030, 26.033216834, 106.322719284, 2883918.17224766, 12432.7915199385,  0°03′16.45002″, 1.00000190699415
GPSⅠ031, 26.0228705452, 106.313482796, 2881963.44508281, 10978.5915255838,  0°02′53.33716″, 1.00000148698537
GPSⅠ032, 26.0218360564, 106.312208792, 2881644.73145328, 10624.6004894772,  0°02′47.7268″, 1.00000139264006
GPSⅠ033, 26.0206583272, 106.310761052, 2881281.89965097, 10222.3152353758,  0°02′41.35272″, 1.00000128917674
GPSⅠ034, 26.0203221988, 106.304736556, 2881178.00951563, 9659.43043423722,  0°02′32.46164″, 1.00000115111053
GPSⅠ035, 26.014976058, 106.303279132, 2880763.36802438, 9254.44780348755,  0°02′26.04536″, 1.00000105661142
GPSⅠ036, 26.014287792, 106.301373868, 2880551.15234094, 8724.76244483241,  0°02′17.6747″, 1.00000093912121
GPSⅠ037, 26.012303256, 106.294095672, 2879939.72720231, 7813.49326725959,  0°02′03.26503″, 1.00000075319138
